Person writing,"Type
,"name type=""ship""",#sh_quickstep,Quickstep,"<i>Quickstep</i>: a 338-ton steamer that surveyed southern California (including mapping the Channel Islands) in 1851, as part of the U.S. Coast Survey. George Nidever served as the ship's pilot.  The steamer was built in Philadelphia in 1850.","Linda Bentz (Chinese Historical Society of Southern California, research notes)"
Carina,"name type=""ship""",#sh_rasselas,Rasselas,<i>Rasselas</i>: a trading ship involved in the Northwest and China trade in the 1830s. It was owned by Eliab Grims & Company.,"Ogden, Adele. The California Sea Otter Trade 1784-1848. Berkeley and Los Angeles: University of California Press, 1941."
Carina,"name type=""ship""",#sh_salvador,San Salvador,"<i>San Salvador</i>: the lead ship in Juan Rodriguez Cabrillo’s fleet. Cabrillo was the first European to explore the California coast, between 1542-43.","Timmons, Greg. ""Juan Rodriquez Cabrillo Biography."" Bio. Accessed May 16, 2016. http://www.biography.com/people/juan-rodriquez-cabrillo-090115. 
""San Salvador."" Maritime Museum of San Diego. Accessed June 23, 2016. http://sdmaritime.org/visit/the-ships/san-salvador/. 
"
Carina,"name type=""ship""",#sh_srsteamer,Santa Rosa,"<i>Santa Rosa</i>: a passenger ship built in Pennsylvania for the Oregon Steamship Company in 1883. The <i>Santa Rosa</i> was sold in 1897 to the Pacific Coast Steamship Company and ran a regular route between San Francisco and San Diego with various stopping points, including Los Angeles, Redondo, Santa Barbara, Port Hartford, and Santa Cruz Island. It wrecked on July 7, 1911, near Point Arguello while carrying 200 passengers; four died as a result of the crash.","""Santa Rosa (steamer)."" Islapedia. February 18, 2016. Accessed September 13, 2016.http://islapedia.com/index.php?title=Santa_Rosa_(steamer)."
Carina,"name type=""ship""",#sh_california,California,"<i>SS California</i>: the first Pacific Mail steamer to arrive on the West Coast. First launched on May 19, 1848, the steamer’s route passed directly by San Nicolas Island. After 1877, the <i>SS California</i> was converted into a sailing ship and transported cargo. The steamer wrecked off the coast of Peru in 1895.","Bertholdt, Victor M., PhD. ""The Pioneer Steamer California."" 2010. http://freepages.genealogy.rootsweb.ancestry.com/~npmelton/psc_indx.htm."
Carina,"name type=""ship""",#sh_fremont,Fremont,"<i>SS Colonel Fremont</i>: a ship that traveled between Panama and San Francisco, carrying both passengers and freight. During the 1850s, it was owned by the Pacific Mail Steamship Company.","""Passenger Lists: San Francisco 1800s."" The Maritime Heritage Project. Accessed May 07, 2016. http://www.shippassengers.com/passengers/SS-Fremont-1April1852.html. "
Carina,"name type=""ship""",#sh_falcon,Falcon,<i>SS Falcon</i>: a ship owned by the US Mail Steamship Company and in operation between 1848-52. It was then converted into a towboat. The <i>SS Falcon</i> was one of the first ships to run a route to California through the Panama Canal.,"Dodsworth, Harry. ""Panama Route Ships."" Panama Route Ships. February 5, 2005. http://www.theshipslist.com/ships/descriptions/panamafleet.shtml. "
Carina,"name type=""ship""",#sh_staroffreedom,Star of Freedom,<i>Star of Freedom</i>: a wooden sloop built in 1865 in San Francisco and used by the Santa Cruz Island Company (a cattle ranching enterprise). The vessel was sold after more than 25 years of service on the California Channel Islands. The Pacific pirate Oscar Bartels subsequently stole <i>Star of Freedom</i> and sailed to Mexico. Its fate is unknown.,"""Star of Freedom."" Islapedia. August 17, 2016. Accessed September 13, 2016. http://islapedia.com/index.php?title=Star_of_Freedom."
Carina,"name type=""ship""",#sh_undine,Undine,"<i>Undine</i>: the first ship licensed in the United States, on November 5, 1890. It sank among the California Channel Islands exactly one month later.","Morris, Don P., and James Lima. Submerged Cultural Resource Assessment. National Park Service. Nps.gov. February 15, 2002. https://www.nps.gov/orgs/1635/upload/CHIS_159_D109_-54710.pdf."
Carina,"name type=""ship""",#sh_congress,Congress,"<i>USS Congress</i>: a ship commissioned in 1841 and assigned to the Mediterranean squadron. During the Mexican-American War, it joined the Pacific Squadron at Monterey Bay and was deployed along the west coast of Mexico; it participated in the battle of Los Angeles. The <i>CSS Virginia</i> ultimately destroyed the <i>USS Congress</i> during the Civil War, when it was assigned to the Atlantic Blockade.","Priolo, Gary P. ""USS Congress (IV)."" NavSource Online: ""Old Navy"" Ship Photo Archive. March 20, 2015. http://www.navsource.org/archives/09/86/86259.htm."
Carina,"name type=""ship""",#sh_edith,Edith,"<i>USS Edith</i>: an American steamship originally used in the opium trade between British India and China. Sold to the American War Department in 1849, it was used during the Mexican-American War to move Army supplies along the Californian coast. On August 24, 1849, having encountered a heavy fog, it ran aground and wrecked in the Santa Barbara Channel, near San Nicolas island.","Ruhge, Justin M. ""Wreck of the USS Edith, August 24, 1849."" California Naval History. February 08, 2016. http://www.militarymuseum.org/Edith.html. "
Carina,"name type=""ship""",#sh_por,Portsmouth,"<i>USS Portsmouth (II)</i>: an American sloop-of-war launched in 1843. In service during the Mexican-American War and the American Civil War, it not only engaged in general surveillance and disruption of the slave trade but undertook several transoceanic voyages. The <i>USS Portsmouth</i> was decommissioned from the Navy and sold in 1915.","""USS Portsmouth."" Hoboken Historical Museum : Online Collections. Accessed February 15, 2017. http://hoboken.pastperfectonline.com/bysearchterm?keyword=USS%2BPortsmouth. SOURCE HAS DISAPPEARED"
Carina,"name type=""ship""",#sh_vandalia,Vandalia,"<i>USS Vandalia</i>: a Navy ship first launched in 1828. It was stationed off the coast of South America to protect merchant ships until it was decommissioned in 1831. The ship was decommissioned and recommissioned several times, assigned to the Pacific Squadron and various other duties along the coast until the outbreak of the Civil War brought it back to the South Atlantic Blockading Squadron in 1861. The <i>USS Vandalia</i> was decommissioned for the last time in 1863.","""Naval History and Heritage Command."" Vandalia I (Sloop-of-War). October 21, 2015. https://www.history.navy.mil/research/histories/ship-histories/danfs/v/vandalia-i.html."
Carina,"name type=""ship""",#sh_volunteer,Volunteer,<i>Volunteer</i>: an American merchant ship (bark) involved in the Pacific trade in the 1830s. It was owned by John Coffin Jones and utilized for the transport of both hide & tallow and otter pelts in California.,"Ogden, Adele. The California Sea Otter Trade 1784-1848. Berkeley and Los Angeles: University of California Press, 1941."
Carina,"name type=""ship""",#sh_washington,Washington,<i>Washington</i>: a schooner owned by the Boston merchant firm Marshall & Wildes. It was involved in the Pacific trade during the 1820s.,"Ogden, Adele. The California Sea Otter Trade 1784-1848. Berkeley: University of California Press, 1941."
Carina,"name type=""ship""",#sh_waverly,Waverly,<i>Waverly</i>: a brig involved in the Northwest trade between Hawaii and California. William Goodwin Dana was associated with the vessel.,"Ogden, Adele. The California Sea Otter Trade 1784-1848. Berkeley: University of California Press, 1941."
,"name type=""ship""",#sh_generalscott,Winfield Scott ,"<i>Winfield Scott</i>: an American steamship built in 1850 by the Pacific Mail Steamship Company. Running the Panama route beginning in 1852, the steamship carried passengers and mail from New York to San Francisco. However, when traveling from San Francisco to Panama in 1853, the ship ran aground on Anacapa Island. Scavengers and treasure hunters, hoping to recover undiscovered gold from its last shipment, visited the wreckage so frequently that it was eventually listed on the National Register of Historic Places in order to protect the remaining ruins.","""Shipwrecks: The Winfield Scott."" National Parks Service. Accessed February 16, 2017. https://www.nps.gov/chis/learn/historyculture/winfieldscott.htm.
""The wreck of the 1850s California Gold Rush steamship Winfield Scott."" National Marine Sanctuaries. August 01, 2012. Accessed February 16, 2017. http://sanctuaries.noaa.gov/maritime/expeditions/ws_2005.html.
Kemble, John Haskell. The Panama Route 1848-1869. 1943. Reprint, University of California Press, 1990."
Carina,"name type=""ship""",#sh_baikal,Baikal,"<i>Baikal</i>: formerly the American brig <i>Arab</i>, this 215-ton vessel was purchached by the Russian American Company and was operating on the coast as late as 1839. It transported supplies, including salt, to the Russian colonies and brought Russian goods to Chile  in 1829.","Ogden, Adele. The California Sea Otter Trade 1784-1848. Berkeley: University of California Press, 1941."
,"name type=""ship""",#sh_bigloafer,Big Loafer,"<i>Big Loafer</i>: a sloop used for fishing in California’s coastal waters, including in and around the Channel Islands, between the 1890s-1904. It was used at least occasionally to transport Chinese abalone fishermen to the islands.","References in California newspapers from 1893, 1901, 1904.  See Linda Bentz vessel notes"
,"name type=""ship""",#sh_crusader,Crusader,"<i>Crusader</i>: a 113-ton brig that sailed between Hawaii, California, and Alaska in 1832, chartered by John Coffin Jones. The <i>Crusader</i> left Honolulu in March, took aboard Kaigani Haida hunters at Norfolk Sound, and hunted otter off the California coast and around Cerros Island during the summer, before returninig to Honoulu in September.","Gast, Contentious Consul: A Biography of John Coffin Jones (1976): 126."
,"name type=""ship""",#sh_famer,Fama,"<i>Fama</i>: owned by Alpheus B. Thompson and John Coffin Jones, the <i>Fama</i> engaged in trade between California and Hawaii. Gorham Hayden Nye frequently served as its captain. Outgoing cargo for an 1844 journey included hides, soap, horses, goatskins, deerskins, lumber, and shingles. The ship wrecked on February 26, 1846, near Santa Barbara.","Journal of a Sea Captain's Wife: 1841-1845, edited by Doyce Nunis.  ""Vessels Owned by John Coffin Jones,"" Ogden Merchant Traders (from Linda Bentz)"
,"name type=""ship""",#sh_genova,Genoa,<i>Genoa</i>: a schooner (sometimes called the <i>Genova</i> or <i>Geneva</i>) used for fishing and pleasure trips along the coast.,"LA Times July 20, 1895; Santa Barbara Morning Press April 17, 1900"
,"name type=""ship""",#sh_harrietblanchard,Harriet Blanchard,"<i>Harriet Blanchard</i>: a 62-ton schooner owned by John Coffin Jones and sailing under a US flag. It engaged in Pacific trade, traveling between California, Hawaii, and some Pacific islands. Cargo included hide & tallow, otter furs, and horses.","Ogden, Trading Vessels on the California Coast, 1786–1848. Unpublished manuscript, 1979. (Bancroft Library, University of California, Berkeley, 1254-56) 603; 632. Ross H. Gast, Contentious Consul: A Biography of John Coffin Jones (1976): 127-28)"
,"name type=""ship""",#sh_hattie,Hattie,"<i>Hattie</i>: a sloop built in San Francisco in 1889 with home port in Wilmington, California. It measured 38.5 (length) x 12.6 (breadth) x  8.5 (depth) with a gross register tonnage of 12.96 and net register tonnage of 12.42.",Linda Bentz vessel list. LMVUS 1892
,"name type=""ship""",#sh_ida,Ida,<i>Ida</i>: a sloop built in San Francisco in 1872. It had a gross register tonnage of 15.50 and net register tonnage of 14.74.,"Linda Bentz vessel list. LMVUS 1880, 1884, 1885"
,"name type=""ship""",#sh_isabella,Isabella,"<i>Isabella</i>: a sloop, with home ports variously in Santa Barbara, San Diego, and San Francisco. It wrecked at San Miguel Island in 1886. The <i>Isabella</i>'s gross register tonnage was 12.80 and net register tonnage 12.16.","Linda Bentz vessel list. LMVUS 1883, 1884, 1885, 1886"
,"name type=""ship""",#sh_juan,Juanita,<i>Juanita</i>: a hermaphrodite brig owned by California shipmasters John Wilson and James Scott beginning in 1844; it engaged in coastal trade and employed a multiethnic crew that included native Hawaiians.,
,"name type=""ship""",#sh_ship2,Juanita,<i>Juanita</i>: a hermaphrodite brig owned by California shipmasters John Wilson and James Scott beginning in 1844; it engaged in coastal trade and employed a multiethnic crew that included native Hawaiians.,
Carina,"name type=""ship""",#sh_losangeles,Los Angeles,<i>Los Angeles</i>: a steamer built in San Francisco in 1874. It brought passengers to Santa Cruz Island throughout the early 1890s.,"Santa Cruz Island Company invoices, 1890-1894--see Linda Bentz vessel records"
,"name type=""ship""",#sh_mat,Matinee,<i>Matinee</i>: 37-ton schooner with home port of San Francisco. ,Linda Bentz vessel record
,"name type=""ship""",#sh_rathmann,"""Captain Rathman's ship""",N/A,
Carina,"name type=""ship""",#sh_july4,4th of July,N/A,
Carina,"name type=""ship""",#sh_ada,Ada,N/A,
,"name type=""ship""",#sh_alex,Alexander,N/A,
,"name type=""ship""",#sh_amvessel,American vessel,N/A,
Carina,"name type=""ship""",#sh_bark1,Bark1,N/A,
Carina,"name type=""ship""",#sh_brig1,Brig1,N/A,
,"name type=""ship""",#sh_brig2,Brig2,N/A,
,"name type=""ship""",#sh_brig3,Brig3,N/A,
Carina,"name type=""ship""",#sh_brig4,Brig4,N/A,
Carina,"name type=""ship""",#sh_collingwood,Collingwood,N/A,
,"name type=""ship""",#sh_fictionalaleut,Fictional Aleuts' ship,N/A,
,"name type=""ship""",#sh_fictionalreturn,Fictional return ship,N/A,
,"name type=""ship""",#sh_france,France,N/A,
,"name type=""ship""",#sh_hawaiian,Hawaiian brig,N/A,
,"name type=""ship""",#sh_jeffries,Jeffries's boat,N/A,
,"name type=""ship""",#sh_lamag,La Magicienne,N/A,
,"name type=""ship""",#sh_leseig,Le Seignelay,N/A,
,"name type=""ship""",#sh_mangal,Manilla Galleon,N/A,
Carina,"name type=""ship""",#sh_margarita,Margarita,N/A,
Carina,"name type=""ship""",#sh_martinet,Martinet,N/A,
,"name type=""ship""",#sh_mcdougall1,McDougall1,N/A,
,"name type=""ship""",#sh_mcdougall2,McDougall2,N/A,
,"name type=""ship""",#sh_mcdougall3,McDougall3,N/A,
,"name type=""ship""",#sh_mcdougall4,McDougall4,N/A,
,"name type=""ship""",#sh_mcdougall5,McDougall5,N/A,
,"name type=""ship""",#sh_mcdougall6,McDougall6,N/A,
Carina,"name type=""ship""",#sh_nellie,Nellie,N/A,
Carina,"name type=""ship""",#sh_olddreamer,Old Dreamer,N/A,
Carina,"name type=""ship""",#sh_oregon,Oregon,N/A,
Carina,"name type=""ship""",#sh_orizaba,Orizaba,N/A,"Kemble, John Haskell. The Panama Route 1848-1869. 1943. Reprint, Columbia: University of South Carolina Press, 1990."
Carina,"name type=""ship""",#sh_paragon,Paragon,N/A,
,"name type=""ship""",#sh_richru,Richard Rush,N/A,
*****,"name type=""ship""",#sh_robbins,Robbins,N/A,
Carina,"name type=""ship""",#sh_rush,Rush,N/A,
,"name type=""ship""",#sh_rbrig,Russian brig ,N/A,
,,#sh_russian,Russian ship,N/A,"NOTE: for research about ships in CA, see: http://babel.hathitrust.org/cgi/pt?id=aeu.ark:/13960/t7jq1gq7w;view=1up;seq=410  -- Hubert Bancroft's History of California, Vol. III, p.383.  Peor es Nada is listed among them"
,"name type=""ship""",#sh_chasedgni,Russian vessel,N/A,
Carina,"name type=""ship""",#sh_sandiego,San Diego,N/A,
Carina,"name type=""ship""",#sh_savannah,Savannah,N/A,
,"name type=""ship""",#sh_ship1,Ship1,N/A,
,"name type=""ship""",#sh_ship3,Ship3,N/A,
,"name type=""ship""",#sh_skiff1,Skiff1,N/A,
Carina,"name type=""ship""",#sh_sophia,Sophia,N/A,
,"name type=""ship""",#sh_steamer1,Steamer1,N/A,
,"name type=""ship""",#sh_steamer2,Steamer2,N/A,
,"name type=""ship""",#sh_steamer3,Steamer3,N/A,
Sydney,"name type=""ship""",#sh_steamer4,Steamer4,N/A,
,"name type=""ship""",#sh_survey1,Survey1,N/A,
Carina,"name type=""ship""",#sh_tay,Tay,N/A,
Carina,"name type=""ship""",#sh_thomashunt,Thomas Hunt,N/A,
,"name type=""ship""",#sh_trussel,Trussel's ship,N/A,
,"name type=""ship""",#sh_schuboat,Unidentified boat,N/A,
,"name type=""ship""",#sh_oahu,Vessel from Oahu,N/A,
,"name type=""ship""",#sh_vessel1,Vessel1,N/A,
Carina,"name type=""ship""",#sh_wednesday,Wednesday,N/A,
,"name type=""ship""",#sh_whaleboat,Whaleboat,N/A,
,"name type=""ship""",#sh_whaler,Whaler,N/A,
,"name type=""ship""",#sh_whaler2,Whaler2,N/A,
Carina,"name type=""ship""",#sh_williams,Williams,N/A,
Carina,"name type=""ship""",#sh_winfieldscott,Winfield Scott,N/A,"Kemble, John Haskell. The Panama Route 1848-1869. 1943. Reprint, University of California Press, 1990."
,"name type=""ship""",#sh_yacht1,Yacht1,N/A,
,"name type=""ship""",#sh_govnidever,,N/A,
,"name type=""ship""",#sh_fictionalpearl,"Pearl
","<i>Pearl</i>: schooner built in Benica, California with home port in San Francisco. It wrecked on Anacapa Island in 1891.",Linda Bentz vessel list; LMVUS 1887
****,"name type=""ship""",#sh_phoebe,Phœbe ,"<i>Phoebe</i>: a 36-gun British Royal Navy ship engaged in the War of 1812 on the United States’ west coast.  Together with the <i>Cherub</i>, the <i>Phoebe</i> captured the American ships <i>Essex </i> and <i>Essex-Junior</i> at Valparaiso, Chile in 1814.  The <i>Cherub</i> also intercepted the American merchant ship  <i>Charon</i>, with Isaac Whittemore as captain, near Hawaii in 1814.",Susan Morris vessel notes
,"name type=""ship""",#sh_joinville,Prince de Joinville,<i>Prince de Joinville</i>: a brig that was among the earliest vessels used in island ranching. Alpheus Thompson purchased the ship to to transport stock from Santa Rosa Island.,Linda Bentz vessel list
,"name type=""ship""",#sh_rover,Rover,<i>Rover</i>: a schooner owned by Luis Antonio Arguello and engaged in otter hunting on the California coast in the early nineteenth century.,"Ogden, Adele. The California Sea Otter Trade 1784-1848. Berkeley: University of California Press, 1941; Linda Bentz's vessel list"
Carina,"name type=""ship""",#sh_santabarbara,Santa Barbara,"<i>Santa Barbara</i>: a schooner built in San Francisco in 1891 and owned by John Coffin Jones; it sailed between the Channel Islands and mainland, transporting abalone, shells, and other items.  ",LMVUS; Linda Bentz vessel list.
Carina,"name type=""ship""",#sh_senator,Senator,<i>Senator</i>: a 1012-ton steamer built in New York City in 1848. It was transported sheep between Santa Cruz Island and the California mainland in the 1870s.,did not find in archive documents. On Linda Bentz vessel list if needed
